name,cover,province_id,city_id,district_id,address,latitude,longitude,contact_number,opening_hours,court_types,is_indoor,facilities,court_qty,base_price,description,rating,enrolling_count,status
X·D不被定义网球(77文创园店),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,1,77文929.1号楼4层天台,0.0,0.0,13520076777,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],{},1,168,这里不错,0.0,0,0
北京体育馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,1,体育馆路甲2号,39.882869,116.42939,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""18:00""}]",[0],[1],{},1,176,这里不错,0.0,0,0
XD不被定义网球馆(龙潭湖体育馆),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,1,左安门内大街59号(龙潭湖体育馆内),39.875781,116.44032,13241777400,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""22:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""change"": ""https://static.poptennis.com.cn/court/icon/change.webp"", ""heating"": ""https://static.poptennis.com.cn/court/icon/heating.webp""}",1,171,这里不错,0.0,0,0
龙潭中湖公园-网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,1,龙潭路甲1号龙潭中湖公园(南侧,39.876755,116.432072,13241777400,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""22:00""}]",[0],"[1, 0]",{},2,127,这里不错,0.0,0,0
天坛体育活动中心网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,1,天坛东路13号天坛体育中心,39.890495,116.412757,18801268701,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},4,192,这里不错,0.0,0,0
国家体育总局新网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,1,天坛东路50号,39.874514,116.42313,1830207837,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""24:00""}]",[0],[0],{},4,124,这里不错,0.0,0,0
广安网球天地,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,2,登莱胡同26号(中国消防救援旁),39.893059,116.357123,83513492,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,181,这里不错,0.0,0,0
康乐特·雨露润泽网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,2,城南街道中关村科技园区昌平园白浮泉路18号,40.200111,116.242225,15313713993,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""24:00""}]",[0],[1],{},2,158,这里不错,0.0,0,0
万商网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,7,银河大街1号,39.905653,116.219559,18510408282,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},4,181,这里不错,0.0,0,0
万商网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,7,金顶山路33号翠源山庄北京铁路职工培训中心,39.940954,116.169704,15810153853,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},1,161,这里不错,0.0,0,0
网动网球(泰然体育中心校区),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,7,兴悦路与城通街交叉口西南60米,39.9059,116.18212,18511007656,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,168,这里不错,0.0,0,0
京西大本营网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,7,橘龄此渙急г叭謬钵次桥北路冬奥公园马拉松大本营,39.87697,116.20758,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},7,125,这里不错,0.0,0,0
优瑭网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,5,东窑村525号-金盏国际体育小镇-,39.995234,116.601833,18601909068,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""23:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""heating"": ""https://static.poptennis.com.cn/court/icon/heating.webp""}",6,108,这里不错,0.0,0,0
权景网球培训学院,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,5,顺白路28号一号地国际艺术区D区(近一号地园区南门),39.898977,116.557254,18801313197,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""23:00""}]",[0],[1],{},1,147,这里不错,0.0,0,0
